FoodItemName|Price|Category|Calorie|MealTime

Classic Burger|6|FastFood|550|Meal
BBQ Chicken Wings|8|BBQ|700|Meal
Sweet and Sour Pork|12|Chinese|600|Meal
Caesar Salad|7|Continental|350|Meal
Margherita Pizza|10|Italian|800|Meal
Mediterranean Salad|9|Mediterranean|450|Meal
Chicken Fried Rice|11|Rice|650|Meal
Chocolate Brownie|4|Desserts|400|Meal
Iced Cappuccino|3|Beverages|120|Meal
Breakfast Burrito|5|Breakfast|500|Breakfast
Sushi Roll Combo|14|Japanese|600|Meal
Greek Gyro|8|Mediterranean|550|Meal
Chicken Alfredo|12|Italian|700|Meal
Spicy Tofu Stir-Fry|9|Vegetarian|480|Meal
Mango Sorbet|6|Desserts|200|Meal
Green Tea|2|Beverages|0|Meal
Avocado Toast|7|Breakfast|350|Breakfast
Grilled Salmon|15|Seafood|600|Meal
Tiramisu|8|Desserts|450|Meal
Vegetable Wrap|6|Vegetarian|400|Meal
Veggie Burger|7|Vegetarian|500|Meal
Teriyaki Chicken|10|Japanese|650|Meal
Caprese Pizza|11|Italian|750|Meal
Spinach and Feta Salad|8|Salad|300|Lunch
Pulled Pork Sandwich|9|BBQ|600|Meal
Chicken Tikka|13|Indian|800|Meal
Shrimp Scampi|14|Seafood|550|Dinner
Quinoa Salad|9|Salad|400|Lunch
Margarita Pizza|12|Italian|700|Meal
Blueberry Pancakes|6|Breakfast|450|Breakfast
Tofu Noodle Stir-Fry|8|Vegetarian|380|Meal
Mango Lassi|3|Beverages|150|Meal
Chicken Caesar Wrap|7|Wrap|600|Lunch
Chocolate Chip Cookie|2|Desserts|200|Meal
Szechuan Beef|11|Chinese|700|Dinner
Veggie Burrito Bowl|10|Bowl|500|Meal
Blue Cheese Burger|8|FastFood|600|Meal
Chicken Quesadilla|9|Mexican|550|Dinner
Margherita Flatbread|7|Italian|400|Lunch
Pineapple Fried Rice|10|Rice|600|Meal
Raspberry Sorbet|5|Desserts|180|Meal
Cappuccino|3|Beverages|80|Breakfast
Grilled Veggie Skewers|9|Vegetarian|350|Dinner
Tuna Salad|8|Salad|400|Lunch
Teriyaki Salmon|15|Seafood|500|Meal
Veggie Pizza|11|Italian|650|Dinner
Chicken Pesto Pasta|12|Italian|750|Dinner
Blueberry Smoothie|4|Beverages|250|Breakfast
Bacon and Egg Bagel|5|Breakfast|450|Breakfast
Pad Thai|10|Thai|700|Dinner
Mango Tango Smoothie|4|Beverages|180|Breakfast
